NodeCount,SimCnt,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,Mse
36,0,0.2024469431489706,50.02090102061629,22.769397008232772,3.977655083872378,12.062027002684772,2.5506210513412952,8.657886072729472e-10
36,1,0.28700893744826317,28.897489071823657,22.13388297241181,3.5707299830392003,12.011810089461505,2.4594030110165477,1.0282489730310363e-09
36,2,0.22649404127150774,28.159883921034634,22.14829297736287,3.610447980463505,12.000203947536647,2.408312982879579,8.918281844627566e-10
40,0,0.19391300156712532,28.40403700247407,22.209880989976227,3.6394119961187243,12.036039028316736,2.4069020291790366,2.915651170654265e-09
40,1,0.29095495119690895,28.020104044117033,22.232056013308465,3.581342985853553,12.03769794665277,2.4216320598497987,1.4025608557818775e-09
40,2,0.19152299501001835,28.745436924509704,22.215127013623714,3.5602260613813996,12.039213092066348,2.4071430088952184,3.117926621138547e-09
44,0,0.20398700144141912,28.350125066936016,22.271837922744453,3.639443893916905,12.08604290150106,2.421132056042552,1.061053395009743e-09
44,1,0.1953409519046545,27.790729072876275,22.112031001597643,3.5735039273276925,12.028072029352188,2.403738093562424,2.400412857950023e-09
44,2,0.1906739780679345,27.485848986543715,22.17849704902619,3.5714779514819384,12.034217012114823,2.4041819851845503,7.718828844123925e-10
48,0,0.19263708963990211,27.733597089536488,22.1162389498204,3.6399969831109047,12.024394003674388,2.407800988294184,1.444862533810112e-09
48,1,0.19418098963797092,27.85935893189162,22.21423399168998,3.58667504042387,12.035734951496124,2.410458051599562,1.9191822915481265e-09
48,2,0.19260100089013577,28.552451985888183,22.120521985925734,3.615848021581769,12.037283042445779,2.4290019646286964,8.967385709183032e-10
52,0,0.19017397426068783,27.65881991945207,22.21644693054259,3.619649913161993,12.079517939127982,2.4405739968642592,1.0834711224777569e-09
52,1,0.19571196753531694,28.581504011526704,22.205639048479497,3.586479928344488,12.031052960082889,2.4355188943445683,1.875181512342117e-09
52,2,0.1914359163492918,28.626282000914216,22.117270971648395,3.5620280541479588,12.029990088194609,2.4291040608659387,2.1575422725373843e-09
56,0,0.19424804486334324,27.513497043401003,22.229521069675684,3.6307229893282056,12.04364700242877,2.429094980470836,1.7770591171619444e-09
56,1,0.23765000514686108,27.654818957671523,22.14741101488471,3.5702140303328633,12.036376050673425,2.4266550317406654,1.1266661132624446e-09
56,2,0.19182206597179174,28.2025879714638,22.125098039396107,3.5806290106847882,12.02538306824863,2.4187290109694004,7.953746848851092e-10
60,0,0.19334896933287382,28.087800950743258,22.231774986721575,3.615499008446932,12.089033029042184,2.4384120479226112,7.942506776088809e-10
60,1,0.192614970728755,28.159717097878456,22.160983993671834,3.6499130073934793,12.030650046654046,2.448934013955295,2.428866144679357e-09
60,2,0.19354198593646288,28.051199042238295,22.09147799294442,3.54967697057873,12.032881029881537,2.447330974973738,5.393911424893946e-10
